Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6
Upma,Cracked Corn Upma, 100 grams,419,67,11,14
Upma,Homemade, 120 g,250,46,4,8
Upma,Aachi Rava Upma Mix, 100 g,340,63,0,13
Upma,Suhas, 100 g,150,22,7,3
Upma,Gits, 2 oz / 50 gms Uncooked,180,33,3,5
Upma,Seviyan Upma, 100 g,410,69,10,11
Upma,Maiya upma, 1 cup,250,27,14,3
Upma,Mtr, 0.5 pack (100g),399,84,7,15
Rice Upma Kozhukattai,Rice Upma Kozhukattai, 1 cup,400,50,7,50
Upma,Ng, 1 Plate,177,0,0,0
nutri upma,quaker upma, 100 gram,440,70,14,8
masala upma,mtr masala upma, 100 gm,416,68,12,9
upma,roasted upma rava, 30 gram,114,25,0,3
Upma,Priya, 50 g uncooked,200,27,9,4
upma,vermicelli, 1 cup,415,22,1,3
Upma,Indigo Rava Upma, 1 cup,352,54,11,8
Vegetable Upma,Homemade, 100 g,209,38,3,7
Upma,Maiyas, 50 gm,210,33,6,5
semiya,semiya, 1000 gram,381,83,1,11
Semiya,Vermicelli Semiya, 100 g,354,77,0,11
Semiya Upma,Homemade, 1 cup,188,35,4,6
Semiya Upma,Rekha's, 1 cup,188,33,4,6
semiya,ttr, 100 g,370,76,1,12
Semiya Payasam,Shashi's Cuisine, 1 Cup [Fat Free Milk],110,18,3,5
semiya kheer,mtr, 100 gram,400,86,4,5
vermicelli semiya,vermicelli, 1 packet,361,78,1,11
Roasted Vermicilli,Anil Semiya, 200 gms,361,80,16,15
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6
Semiya Upma,Calorie Count, 83.6 gms,90,16,1,3
Semiya Payasam ,Aachi, 100 gram,307,64,3,6
Semiya Kheer,My Home Made, 1 cereal bowl,262,44,7,9
Semiya Payasam,Homemade, 1 Portion,560,94,15,10
semiya payasam mix,aachi, 100 gram,392,83,4,6
Semiya,Mtr roasted vermicilli, 440 g,341,75,1,8
Wheat vermicelli semiya,Anil, 0.5 cup,369,80,1,12
Semiya payasam mix,Brahmins, 25 g,100,22,1,1
breakfast,kuthuvilaku raggi semiya, 1 cups,365,80,0,10
Roasted Semiya Vermicelli,Annam, 100 gram,354,76,1,12
Chapati,Chapati, 1 cup,120,20,3,4
Chapati Bread,Chapati Bread, 1 slice,60,11,1,3
Chapati,Chapati House, 1 chapati,110,18,3,3
1 Whole Wheat Chapati,Chapati, 1 whole,68,13,1,2
Chapati,Homemade, 50 g,120,20,3,4
Chapati Without Oil,My Chapati, 1 piece,90,10,1,3
chapati,kawan chapati, 1 Serving,205,30,8,3
Chapati,Roti, 50 gm,106,15,1,4
atta chapati,chapati, 100 gram,340,69,2,12
Chapati,Pilsburry, 3 chapatis,273,56,1,9
chapati,chapati(annapuma), 100 gram,320,64,2,11
Chapati,Swad, 1 piece (57 gm),130,23,4,4
chapati,aldan chapati, 1 gram,267,54,2,8
Chapati,Mima's Chapati, 1 chapati,102,22,1,4
Chapati,Homemade, 1 plate cooked,60,11,1,3
Chapati,Indian, 100 g,270,0,0,0
Chapati,Kawan, 1 roti,120,16,5,3
chapati,malabar chapati, 100 gram,282,46,5,10
Chapati,Sainsburys, 1 chapati,308,52,7,8
Chapati,Sabita, 100 g,322,54,8,9
Chicken Biriyani,Chicken Biriyani, 1 Full,200,57,12,19
Beef Biriyani,Khazana Biriyani, 1 plate,349,48,7,21
Chicken Biriyani,KYF, 368 g,457,67,13,23
Mutton Biriyani,Generic, 300 g,651,81,24,32
Chicken Biriyani ,Generic, 1 cup,396,55,12,25
Lamb Biriyani,12wbt, 1 serve,409,37,11,37
Vegetable Biriyani,Sainsburys, 350 g,397,50,16,10
Vegetable Biriyani,Homemade, 0.75 cup,128,14,7,3
Lamb Biriyani,Indian, 2 cups,417,27,24,24
Chicken Biriyani,Homemade, 0.5 Cup,150,25,3,10
Veg Biriyani,Swad, 100 g,169,29,4,4
Vegetable Biriyani,Shana, 150 g (1 package),250,55,9,8
Chicken Biriyani,Tesco, 500 g,730,92,25,35
Cauliflower Biriyani,Indian, 2 cups,384,60,12,9
Type of Biriyani,Karnataka Donne Biriyani, 1 Full,350,0,0,0
Biriyani,Ready to eat biriyani, 1 cup,182,22,7,8
Veg Biriyani,Sanskriti, 0.5 pack,280,40,10,8
Biriyani Sauce,Pataks, 0.5 Jar 500g,127,0,0,0
Chicken Biriyani,Ambur, 250 g,626,125,14,45
Biriyani,Spencer's, 1 gram,78,3,7,1
Pootharekulu,Ifood.tv," 4 "" roll",287,7,30,0
Pootharekulu,Generic, 1 serving,158,31,4,2
the Most Accurate One!,Generic Pootharekulu, 1 cup,100,1,1,50
Ragi Mudde,Indian Ragi, 100 g,340,72,2,8
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0
Ragi Beads,Ragi, 0.5 cup,100,0,0,0
Ragi flakes,Ragi flakes, 30 g,112,24,1,3
Ragi,Ragi, 100 g,362,77,1,11
Sankati Ragi,Sankati Ragi, 1 Cup,220,44,2,0
Ragi,Organic Ragi malt., 1 cup,328,72,1,7
ragi,Ragi Biscuits, 1 pack,551,57,33,6
Ragi,Generic, 100 g,325,69,2,9
Chappathi,Ragi, 100 g,325,46,9,10
Chappathi,Ragi, 100 g,325,46,9,10
P's Ragi Kanji,P's Ragi Kanji, 1 cup,150,0,0,0
Ragi Chapati,Home Made Ragi Chapati, 3 servings,375,72,4,11
Ragi Malt,Ragi Malt, 100 gram,365,73,1,13
Ragi Java,Ragi Java, 1 cup,250,0,6,12
Kezhvaragu (Ragi Millet),Kezhvaragu (Ragi Millet), 100 g,328,73,1,7
Ragi Balls_svv,Generic, 0.5 cup cooked/65g,220,44,0,6
Ragi Malt,Raji's, 1 cup,105,22,0,5
Ragi Dosa,Indian, 1 Plain Dosa,102,16,3,2
Ragi pancake mix,Indira's  ragi dosa, 0.25 Cup,126,27,0,4
ragi roti,haldiram ragi roti, 1 piece,80,14,2,2
Ragi Roti,Home Made, 1 piece,107,15,4,2
ragi roti,nice, 100 gram,326,46,9,10
ragi roti,master, 1 piece,100,21,6,5
haldirams,ragi roti, 1 piece,80,14,2,2
Ragi/Naachni Roti,Generic, 100 grams,336,88,2,8
Ragi Roti / Nachni Bhakri,"Generic, 1 piece"," 1 piece, 50g",186,31,5,2
Homemade Ragi Roti,Shashi's Cuisine, 1 Piece,164,36,1,4
Bajra-ragi Roti,Generic Indian, 80 gms,302,64,2,7
Ragi (Finger Millet Flour) Roti,Homemade, 1 Roti,60,10,1,1
