Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Udad Dal Papad,Lijjat Papad, 1 papad,31,5,0,0
Papad,Madrasi. Papad, 25 g,60,14,1,0
Papad,Indian, 1 papad,31,5,0,2
Papad,Lijit, 1 papad,33,6,1,2
Papad,Om papad, 1 piecr,34,6,0,2
Fried,Papad, 1 count,43,6,0,3
Homemade,Papad, 1 grilled,32,6,3,1
Papad,Bikaneri Papad, 30 g,94,16,0,6
Papad,Haldiram, 1 piece (8.5 grams),25,5,0,1
Papad,Yes papad, 3 papad,70,12,0,4
Roasted,Papad, 1 Small,25,0,0,0
Papad,Generic, 1 disk,29,5,0,2
Masala papad,Shahi papad, 100 gram,309,56,0,21
Papad,Lijjat, 20 g,70,12,0,4
papad,rice papad red chilly, 20 gram,68,15,0,2
Moongdhal Payasam,Moongdhal Payasam, 1 cup,260,63,10,13
Rava Payasam/kheer,Rava Payasam/kheer, 1 bowl,350,13,4,10
Payasam,Homemade, 50 g,215,42,3,5
Vermicelli Payasam,Mtr, 30 g,117,25,1,2
Payasam,Brahmins, 25 gram,96,23,0,1
Pal Payasam,Ab, 100 g,170,27,5,5
Semiya Payasam,Shashi's Cuisine, 1 Cup [Fat Free Milk],110,18,3,5
Paruppu Payasam,Home Made, 1 cup,209,41,1,8
Vermicelli Payasam Sugarless,Homemade, 200 grams,225,37,3,6
Aval Payasam,Rass, 10 grams,12,2,0,0
payasam mix,eastern, 4 cup 250 ml,32,7,0,1
Payasam Mix,Alagappa's, 100 g,384,0,0,0
Payasam,Mother's Recepie, 100 gram,401,86,4,5
Payasam,Milky Mist, 100 g,215,36,3,3
Payasam Mix,Baba’s, 30 gram,115,28,0,0
Palada Payasam Mix,Double Horse, 25 g 0r 3  tbsp,96,23,0,1
payasam mlx,eastern, 251 ml,32,7,0,1
Semiya Payasam ,Aachi, 100 gram,307,64,3,6
Payasam,Aachi Palada, 25 g,66,14,1,1
Payasam mix,Raja’s, 30 g,108,23,1,2
Kheer (Rice Pudding),Homemade, 1 cup,234,31,3,5
Rice Kheer,(Jhs), 1 bowl-soup (16&1/2cm / 218g),353,43,14,14
Rice Kheer,Techiemonk's, 100 g,143,23,4,5
Samak  Rice Kheer,Rekha's, 150 g,115,20,2,5
rice kheer,Triguni, 1 cup,419,60,11,19
Rice Pudding,Hans Kheer, 125 g,190,15,5,8
Kheer (Rice + Milk Pudding),Homemade, 100 gm,134,27,2,4
kheer,Mom Kheer, 1 cups,194,39,1,8
Kheer,Homemade, 1 cup,282,48,7,8
Kheer,Verka's, 200 g,250,28,8,8
Kheer,Verka's, 200 g,250,28,8,8
Rice Ada Payasam Kheer,Rani, 25 g,94,23,0,0
Kheer,Monsoon, 1 cup,439,79,9,13
Kheer,Gee's, 1 portion,223,43,2,7
Kheer,Hans, 125 g,190,30,5,8
Rava Payasam/kheer,Rava Payasam/kheer, 1 bowl,350,13,4,10
Basmati Rice Kheer - Mix,Gits, 20 gm uncooked,80,18,1,1
Kheer (Rice Pudding),Dars, 175 g,191,23,8,6
Tilda Humara Kheer Dessert Rice,Tilda, 110 g,153,18,8,2
Sevai Kheer,Homemade, 1 cup,259,61,12,10
Moong Dal Pesarattu,Pesarattu Pancake, 1 piece,133,10,5,6
Pesarattu,None, 1 dosa,99,17,5,6
Pesarattu Onion,Generic, 1 piece,173,29,1,12
Pesarattu,Maiyas, 1 piece,190,24,8,5
Pesarattu,Rass, 1 dosa,100,19,0,5
Pesarattu (Green0,Homemade, 1 Dosa,130,16,5,6
Pesarattu,Dharshi, 1 Dosa,52,9,1,3
Pesarattu Dosa,Gandhi's, 1 dosa,90,17,0,4
Pesarattu Green Gram Crepes ,Pesarattu Green Gram Crepes, 1 cup cooked,105,0,1,0
Pesarattu,Gandhi’s, 0.25 cup,90,17,0,4
Whole Moong Pesarattu,Homemade, 1 piece,38,3,2,1
Dosa,Priya Instant Pesarattu, 1 Dosa,173,29,1,12
Pesarattu Dosa,Dharshi, 1 Dosa,67,9,2,3
Moong Dal Pesarattu (Pancake),Homemade, 4 tbsp,106,18,1,7
kambu pesarattu,thegreenpeppers, 100 g,156,24,1,8
Andhra Pesarattu Dosa,Mallika Badrinath, 1 Dosa,81,16,4,0
Pesarattu Without Oil,Home Made, 40 grams,60,0,0,0
Pesarattu - Mung Dosa,Drm, 100 g,183,26,4,11
Pesarattu Dosa,Delight Foods, 20 g,69,15,1,2
Pesarattu Without Oil,Homemade, 40 grams,0,0,0,0
Sweet Pongal,Generic, 4 tablespoon,400,58,18,8
Pongal,Pongal, 1 cup,200,23,7,5
Sweet Pongal,Homemade, 1 cup cooked,297,0,13,8
Sweet Red Rice Pongal,Dharshi, 1 cup cooked,214,46,2,3
Pongal,Priya, 100 g,80,8,4,2
Pongal,Mtr, 5.29 oz,125,16,5,4
pongal,triguni, 1 container,350,18,7,3
Sweet Pongal (Jaggery),South Indian Home Made, 150 gms,220,38,3,4
Ven Pongal,Homemade, 0.5 cup (cooked),134,24,3,4
Spicy Pongal,Homemade, 0.5 cup cooked,121,21,2,3
Varagu Pongal,Homemade, 100 g,300,66,9,8
Pongal,Aasihirwad, 285 g,87,11,4,2
P's Ven Pongal,P's Ven Pongal, 0.75 th cup,250,0,0,0
Pongal,Bambino, 1 gram,233,29,10,6
Pongal,Fitfoodiy's, 350 g,393,72,5,18
Sakara Pongal,Homemade, 82.5 g,165,63,6,6
Ghee Pongal,GRB, 67 gram,221,42,3,9
Instant Pongal,Deep, 50 grams,230,29,10,6
simply pongal oats,Kellogs, 100 g,369,67,9,11
Quinoa Ven Pongal,Generic, 0.5 cup,177,18,10,4
Papad,Sandige, 0.9 oz,110,21,0,3
Sandige (Onion),Anand, 25 grams,110,14,0,3
Curd Rice,Curd Rice, 1 cup cooked,300,41,6,17
Regular,Curd Rice, 1 cup cooked,250,50,7,10
Curd Rice,Shafina, 1.5 cups; 300 grams,214,18,3,9
Curd rice,Maiyas, 1 container,270,48,6,5
Curd(dahi),Curd, 500 gms,185,30,3,15
Curd Rice,the Daily Plate, 2 tbps,137,22,3,4
Curd Rice,Sangeetha, 1 cup cooked,0,0,0,0
Curd Rice,Common, 225 grams,207,38,3,6
Rice/Curd/Banana Pie,Homemeade, 2 square inches,200,30,3,10
Cheese curd,Cheese curd, 1 oz,110,0,9,7
curd,Gowardhan curd, 100 gram,71,6,3,4
Bean Curd Filled Rice Cakes,Shirakiku, 1.5 inch diameter ball (20 g),51,18,0,1
Curd,Milky Mist Curd Packet, 100 gm,61,5,3,4
curd,curd, 100 gram,100,3,4,12
Plain,Curd, 1 cup,160,14,7,10
Curd,Homemade, 100 gms,61,2,4,5
Curd,Ybi, 100 gram,90,4,4,10
Curd,Nandini, 100 ml,56,4,3,4
Curd,Tirumala, 100 g,64,6,3,4
Curd,American Spoon Lemon Curd, 1 TBSP,60,8,3,1
Uttapam,Plain Uttapam, 1 pieces,172,24,7,3
Vegetable uttapam,Uttapam, 1 piece,125,24,1,3
Sooji Uttapam With Veggies,Uttapam, 1 serving,140,44,5,10
Uttapam,Scc, 1 piece,210,30,10,3
Uttapam,Mtr, 1 pc,230,36,6,8
Uttapam,Gits, 1 Uttapam,160,33,0,6
Instant Uttapam Mix,Mtr Instant Uttapam Mix, 1 (1/4 cup of wet mix with water),85,15,2,1
Onion Uttapam,Homemade, 1 piece (80 grams),170,24,7,3
Onion Uttapam,Udupi, 1 piece +1tsp chutney,160,25,5,4
Vegetable Uttapam,Homemade, 1 Uttampam,200,30,5,4
Sooji Uttapam,Rekha's," 1 (7"")",163,26,4,6
Oats Uttapam,Homemade, 2 pieces,362,71,5,12
Onian Uttapam,Sankalp, 1 piece,235,0,8,0
Onion Uttapam,Generic, 1 nos,170,24,7,3
Uttapam,Patidar, 50 g,170,36,1,5
Uttapam,Trader Joes, 2.5 oz,130,20,5,3
uttapam,udipi, 1 piece,160,25,5,4
Rava Uttapam,Generic, 1 piece,163,26,4,6
Uttapam Mix,Gits, 0.25 package,160,33,1,6
Uttapam 100g,Mtr, 1 pc,360,0,0,0
Whole Wheat Upma,Upma, 2 Cups,277,56,6,6
Broken Wheat Upma,Home, 1 cup cooked,150,18,3,2
Broken Wheat Upma,Dhanss, 1 cup,113,19,4,4
Whole Wheat Upma,Vish, 100 grams,107,18,3,2
wheat upma,saurbhi, 100 gram,364,71,2,16
cracked wheat upma,deep, 0.25 cup,135,29,0,5
Cracked Wheat Upma,Gautam-jaanufoods, 1 cup,241,32,12,5
Kaappu's Cracked Wheat Upma,Homemade, 1 cup,200,30,8,5
Wheat Rawa Upma Mix,Priya, 10 g,50,6,2,1
Roasted Rava (Wheat) Upma,Melam, 100 g,360,73,1,13
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6
Wheat Daliya Upma,Terra greens, 100 gm,354,76,2,8
Cracked Wheat Upma,Kala's Homemade, 0.333 cup uncooked,277,54,4,10
Upma,Cracked Corn Upma, 100 grams,419,67,11,14
Upma,Homemade, 120 g,250,46,4,8
Upma,Aachi Rava Upma Mix, 100 g,340,63,0,13
Broken Wheat Upma With Veggies,Chetna, 1 bowl cooked,237,31,11,6
Upma,Suhas, 100 g,150,22,7,3
Upma,Gits, 2 oz / 50 gms Uncooked,180,33,3,5
Upma,Seviyan Upma, 100 g,410,69,10,11
Indian Prawn Curry,Generic, 100 g,101,2,3,14
 Prawn Curry,South Indian, 1 cup,375,16,17,41
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18
Prawn Curry - Garlic & Coriander,Indian, 1 serving,206,5,8,30
Prawn Coco Curry,Indian Restaurant, 1 serving,240,9,11,25
Authentic Indian - Goan Prawn Curry,ESS, 338 g,431,14,27,33
Indian Prawn Curry,Homemade (Recipe Taste.com.au), 1 serving,643,89,13,39
Authentic Indian - Andra Prawn Curry,ESS, 234 g,305,5,21,22
Prawn Sag,Indian, 1 portion,220,26,5,23
Black Pepper Prawn Curry (Sanjeev Kapoor),Indian, 1 serving,240,22,11,16
South Indian Coconut and Prawn Curry,Bbcgoodfood, 1 Portion,312,19,11,21
Prawn Curry,Bangladeshi Curry, 100 g,150,20,2,3
Tandoori Prawn,Indian Restaurant, 1 plate,132,2,4,20
Prawn Dhansak,Indian Restaurant, 1 plate,440,0,0,0
Prawn Dupiaza,Indian Takeaway, 371 g,380,0,0,0
Prawn Curry,Sainsburys Basic Prawn Curry, 400 g,430,75,7,14
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12
Prawn Karahi,Cook Indian, 310 g,223,13,10,16
Lamb Curry,Indian, 8 serving,190,4,11,18
Kofta Curry,Indian, 235 g,256,11,11,27
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77
Indian Fish Curry,Hawker, 1 portion,244,13,4,38
Indian Fish Curry,Homemade, 1 piece of fish,338,12,14,42
South Indian Fish Curry,Epic, 1 plate,766,67,33,54
Indian Fish Curry,All Recipes, 1 fillet,338,12,14,42
Indian Goan Fish Curry,Waitrose, 175 grams,313,7,23,17
South  Indian Fish Curry,Youngs, 1 box,389,43,15,19
Indian Fish Curry,Webefit.com, 1 Serving,250,11,8,33
Fish Head Curry,"South Indian Food, 1 fish head with gravy weighing 1"," 1 fish head with gravy weighing 1,320 grams",1183,42,77,77
Indian Fish Curry,Homemade (K&m), 0.25 batch,417,16,26,28
Fish Curry (Alaskan Pollock),Homemade Indian, 1 cup,140,5,7,13
Fish Curry ( Chepala Pulusu ) Indian Andhra,Homemade, 284 g,230,10,3,37
South Indian Fish Curry,Tesco Realfood, 1 portion,233,0,10,0
Authentic Indian - Meen Moili Fish Curry,ESS, 248 g,277,3,18,27
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12
Lamb Curry,Indian, 8 serving,190,4,11,18
Kofta Curry,Indian, 235 g,256,11,11,27
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6
Cod Curry,Indian, 4 oz,227,11,8,24
Prawn Sag,Indian, 1 portion,220,26,5,23
Prawn Stir Fry,Tamarind Prawn, 1 serving,223,5,10,27
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18
 Prawn Curry,South Indian, 1 cup,375,16,17,41
Indian Prawn Curry,Generic, 100 g,101,2,3,14
Tandoori Prawn,Indian Restaurant, 1 plate,132,2,4,20
Prawn Dhansak,Indian Restaurant, 1 plate,440,0,0,0
Vanziram Fry,Indian, 100 g,175,0,7,28
Prawn Dupiaza,Indian Takeaway, 371 g,380,0,0,0
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0
Kovakkai Fry,Indian, 1 cup,105,0,4,2
Prawn Karahi,Cook Indian, 310 g,223,13,10,16
Indian Fry Bread,A'viands, 1 Each,288,7,28,1
Stir Fry,King Prawn, 1 portion,328,0,0,0
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11
King Prawn Saag,Indian Restaurant, 1 container,405,17,11,62
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19
Prawn Puree,Indian Take Out, 1 portion,209,19,12,6
Prawn Stir Fry,Bart's, 1 serving,373,0,0,0
Indian King Prawn Masala,Sainsbury's, 0.5 pack,218,19,10,13
indian squid,Reedda, 100 gram,108,0,3,19
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12
Squid Curry,Home Made, 1 cup,290,14,21,8
Lamb Curry,Indian, 8 serving,190,4,11,18
Kofta Curry,Indian, 235 g,256,11,11,27
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6
Cod Curry,Indian, 4 oz,227,11,8,24
Indian Curry,Brunch, 100 g,212,11,17,4
vegan indian curry,indian curry, 400 grams,632,114,20,17
Marrow Curry,Indian, 1 serving,161,6,14,2
Lamb Curry - Indian,Bukhara Indian, 1 cup,257,4,14,28
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Indian Curry,Valess, 100 g,178,17,7,10
Curry,Indian Food, 100 G,100,15,5,3
curry,vegan Indian curry, 1 container,370,53,15,8
Curry Squid Dried,Maru, 95 grams,287,58,4,6
Dried Indian Squid,Angelina, 227 g,26,0,1,4
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77
Indian Chicken Curry,Generic Indian Restaurant, 1 cup cooked (about 8 oz),300,11,16,27
indian squid,Reedda, 100 gram,108,0,3,19
Stir Fry Squid,Sg, 1 Squid,114,2,7,11
Vanziram Fry,Indian, 100 g,175,0,7,28
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0
Kovakkai Fry,Indian, 1 cup,105,0,4,2
Indian Fry Bread,A'viands, 1 Each,288,7,28,1
Squid Stir Fry,Assi Brand, 6 oz (175g),138,0,2,30
Dried Indian Squid,Angelina, 227 g,26,0,1,4
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19
Goat Brain Fry,Indian, 1 serving,232,0,19,14
Promfret Fry,Indian Homemade, 1 fish (300g),230,0,15,24
Indian Palak Fry,Homemade, 323 g,199,26,9,10
Indian Fry Bread,Margaret's, 90 Grams,296,0,0,0
Indian Fry Bread,Food.com, 1 (83 g),153,32,0,4
Stir-Fry Squid,HMart, 100 g,110,8,5,9
Indian (Navajo) Fry Bread,Generic," 10.5 "" diameter",269,58,15,11
Indian Okra Fry (Bhindi),Homemade, 1 cup cooked,182,20,11,4
Capsicum and Potato Fry,Indian, 1 cup cooked,123,15,7,1
Cabbage Fry Indian,Home Cooked, 0.5 cup cooked,120,19,4,5
South Indian Crab Curry,Homemade, 760 gms,1565,148,78,66
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12
Crab Crab Curry,Homemade, 1 serving,140,14,5,12
Lamb Curry,Indian, 8 serving,190,4,11,18
Kofta Curry,Indian, 235 g,256,11,11,27
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6
Cod Curry,Indian, 4 oz,227,11,8,24
Indian Curry,Brunch, 100 g,212,11,17,4
vegan indian curry,indian curry, 400 grams,632,114,20,17
Marrow Curry,Indian, 1 serving,161,6,14,2
Lamb Curry - Indian,Bukhara Indian, 1 cup,257,4,14,28
Curry Crab,Homemade, 0.5 cup,132,18,3,10
Crab Curry,Homemade, 1 cup,265,35,6,20
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Indian Curry,Valess, 100 g,178,17,7,10
Curry,Indian Food, 100 G,100,15,5,3
curry,vegan Indian curry, 1 container,370,53,15,8
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18
Vanziram Fry,Indian, 100 g,175,0,7,28
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0
Kovakkai Fry,Indian, 1 cup,105,0,4,2
Indian Fry Bread,A'viands, 1 Each,288,7,28,1
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11
Imitation Crab,Imitation Crab Stir-Fry, 1 (245g),126,23,5,8
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19
Goat Brain Fry,Indian, 1 serving,232,0,19,14
Promfret Fry,Indian Homemade, 1 fish (300g),230,0,15,24
Indian Palak Fry,Homemade, 323 g,199,26,9,10
South Indian Crab Curry,Homemade, 760 gms,1565,148,78,66
Indian Fry Bread,Margaret's, 90 Grams,296,0,0,0
Indian Fry Bread,Food.com, 1 (83 g),153,32,0,4
Frozen Fry Crab Nuggets,Watson - Frozen Fry Crab Nuggets, 1 ball (14g),10,1,0,1
Indian (Navajo) Fry Bread,Generic," 10.5 "" diameter",269,58,15,11
Indian Okra Fry (Bhindi),Homemade, 1 cup cooked,182,20,11,4
Capsicum and Potato Fry,Indian, 1 cup cooked,123,15,7,1
Cabbage Fry Indian,Home Cooked, 0.5 cup cooked,120,19,4,5
Chilli Chicken Fry,Homemade Indian, 1 cup cooked,212,24,12,16
Indian (Native) Fry Bread,Homemade," 5 "" diameter",296,5,9,6
Chicken Ghee Roast,Homemade, 1 serving,591,8,32,66
chicken ghee roast masala,chakrika, 50 gram,340,39,16,11
Ghee Roast Dosa,Generic, 1 dosa,250,25,26,5
Ghee,Ghee, 1 tsp,45,0,5,0
chicken ghee roast masala,chakrikas, 50 gram,340,39,16,11
Ghee,Cow Ghee, 0.5 cup,680,0,76,0
Ghee Roast Peanut,Dev, 1 gram,611,25,46,26
Roast garlic ghee,Dosha, 10 g,85,0,10,0
Ghee,Ghee (Clarified Butter), 1 Tbsp,135,0,15,0
ghee ,organic ghee, 1 tablespoon,117,0,13,0
Ghee,Ghee primal, 10 grams,135,0,15,0
Ghee,Organic Valley Ghee, 1 Teaspoon,45,0,5,0
Ghee,Vital Ghee, 1 tablespoon,112,0,13,0
Ghee,PATANJALI COWS GHEE, 100 gram,898,0,100,0
Ghee,Amul cow ghee, 1 tbsp,130,0,14,0
Ghee,Brars ghee, 2 tsp,90,0,10,0
Manteiga ghee,Ghee banqueteria, 5 grama,45,0,5,0
Spicy Green Ghee Roast,Chakrika, 1 bowl,297,34,14,10
Ghee,Ambar Ghee, 30 gr.,112,0,13,0
Ghee,Chitale Ghee, 100 ml,818,1,91,0
Ghee Roast Dosa,Generic, 1 dosa,250,25,26,5
Ghee,Ghee, 1 tsp,45,0,5,0
Chicken Ghee Roast,Homemade, 1 serving,591,8,32,66
chicken ghee roast masala,chakrika, 50 gram,340,39,16,11
Ghee,Cow Ghee, 0.5 cup,680,0,76,0
Ghee Roast Peanut,Dev, 1 gram,611,25,46,26
Roast garlic ghee,Dosha, 10 g,85,0,10,0
Ghee,Ghee (Clarified Butter), 1 Tbsp,135,0,15,0
ghee ,organic ghee, 1 tablespoon,117,0,13,0
Ghee,Ghee primal, 10 grams,135,0,15,0
Ghee,Organic Valley Ghee, 1 Teaspoon,45,0,5,0
Ghee,Vital Ghee, 1 tablespoon,112,0,13,0
Ghee,PATANJALI COWS GHEE, 100 gram,898,0,100,0
Roast Prawn Paste (น้ำพริกกุ้งเสียบ),Dished, 1 cup,45,5,0,5
Ghee,Amul cow ghee, 1 tbsp,130,0,14,0
chicken ghee roast masala,chakrikas, 50 gram,340,39,16,11
Ghee,Brars ghee, 2 tsp,90,0,10,0
Manteiga ghee,Ghee banqueteria, 5 grama,45,0,5,0
Spicy Green Ghee Roast,Chakrika, 1 bowl,297,34,14,10
Ghee,Ambar Ghee, 30 gr.,112,0,13,0
Pork Vindaloo,Scooie's, 100 g,90,0,0,0
Pork Vindaloo,Bistromd, 1 Package,300,33,6,27
Pork Vindaloo,Aramark, 0.5 cup,137,10,5,13
Pork Vindaloo,Chutney Joe's, 8 oz cooked,290,11,13,36
pork vindaloo,chef, 1 cup,930,0,33,0
Pork Vindaloo,"Cooking Light, 1 C pork"," 1 C pork, 3/4 C rice",392,52,8,31
Pork Vindaloo,Fpcr, 1 serving,226,4,10,30
Pork Vindaloo,Sprig, 1 container,720,52,33,52
Pork Vindaloo,My Recipes, 1 cup pork mixture + 1/2 cup rice + tsp. cilantro,379,36,7,38
Pork Vindaloo,Bistro Md, 1 pacakge,300,33,6,27
Pork Vindaloo,Sodexo Campus, 1 Entree,320,16,18,24
Pork Vindaloo Plate,Sodexo Campus, 1 Entree,320,16,18,24
Vindaloo Pork,Thermomix, 300 grams,980,50,61,57
Pork Vindaloo,Dosa, 4 oz,261,5,11,35
Pork Vindaloo,Guckenheimer, 1 order,330,13,18,28
Curried Pork With Vindaloo,Penzeys, 0.75 c,300,9,20,23
Pork Vindaloo,Central Market, 1 dinner,920,78,40,60
Pork Vindaloo,Grinnell College, 6 oz,280,5,17,27
Cassiopeia - Pork Vindaloo,Epic, 1 entree,319,30,10,27
Pork Vindaloo,Pete's Paleo, 1 Packet,535,5,32,52
Indian Pork Curry,Lose Baby Weight, 1 bowl,390,38,8,27
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12
Lamb Curry,Indian, 8 serving,190,4,11,18
Kofta Curry,Indian, 235 g,256,11,11,27
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6
Cod Curry,Indian, 4 oz,227,11,8,24
Indian Curry,Brunch, 100 g,212,11,17,4
vegan indian curry,indian curry, 400 grams,632,114,20,17
Marrow Curry,Indian, 1 serving,161,6,14,2
Lamb Curry - Indian,Bukhara Indian, 1 cup,257,4,14,28
south indian pork curry,jeyel's, 100 gram,98,8,7,2
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Indian Curry,Valess, 100 g,178,17,7,10
Curry,Indian Food, 100 G,100,15,5,3
curry,vegan Indian curry, 1 container,370,53,15,8
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18
Indian Chicken Curry,Generic Indian Restaurant, 1 cup cooked (about 8 oz),300,11,16,27
indian curry paste,indian curry paste, 100 gram,295,18,22,3
Fish Biriyani,Daily Delight, 1 package,430,46,16,24
Chicken Biriyani,Chicken Biriyani, 1 Full,200,57,12,19
Fish Biriyani,Prep Kitchen, 1 unit,742,111,4,52
Beef Biriyani,Khazana Biriyani, 1 plate,349,48,7,21
Chicken Biriyani,KYF, 368 g,457,67,13,23
Mutton Biriyani,Generic, 300 g,651,81,24,32
Chicken Biriyani ,Generic, 1 cup,396,55,12,25
Lamb Biriyani,12wbt, 1 serve,409,37,11,37
Vegetable Biriyani,Sainsburys, 350 g,397,50,16,10
Vegetable Biriyani,Homemade, 0.75 cup,128,14,7,3
Lamb Biriyani,Indian, 2 cups,417,27,24,24
Chicken Biriyani,Homemade, 0.5 Cup,150,25,3,10
Veg Biriyani,Swad, 100 g,169,29,4,4
Vegetable Biriyani,Shana, 150 g (1 package),250,55,9,8
Chicken Biriyani,Tesco, 500 g,730,92,25,35
Cauliflower Biriyani,Indian, 2 cups,384,60,12,9
Type of Biriyani,Karnataka Donne Biriyani, 1 Full,350,0,0,0
Biriyani,Ready to eat biriyani, 1 cup,182,22,7,8
Veg Biriyani,Sanskriti, 0.5 pack,280,40,10,8
Biriyani Sauce,Pataks, 0.5 Jar 500g,127,0,0,0
Homemade Prawn Biriyani,Generic, 1 cup cooked,295,34,17,7
Chicken Biriyani,Chicken Biriyani, 1 Full,200,57,12,19
Beef Biriyani,Khazana Biriyani, 1 plate,349,48,7,21
Prawn Biriyani,Sainsbury's Be Good to Yourself, 400 g,318,49,3,18
Chicken Biriyani,KYF, 368 g,457,67,13,23
Mutton Biriyani,Generic, 300 g,651,81,24,32
Chicken Biriyani ,Generic, 1 cup,396,55,12,25
Lamb Biriyani,12wbt, 1 serve,409,37,11,37
Vegetable Biriyani,Sainsburys, 350 g,397,50,16,10
Vegetable Biriyani,Homemade, 0.75 cup,128,14,7,3
Lamb Biriyani,Indian, 2 cups,417,27,24,24
Chicken Biriyani,Homemade, 0.5 Cup,150,25,3,10
Veg Biriyani,Swad, 100 g,169,29,4,4
Vegetable Biriyani,Shana, 150 g (1 package),250,55,9,8
Chicken Biriyani,Tesco, 500 g,730,92,25,35
Cauliflower Biriyani,Indian, 2 cups,384,60,12,9
Type of Biriyani,Karnataka Donne Biriyani, 1 Full,350,0,0,0
Biriyani,Ready to eat biriyani, 1 cup,182,22,7,8
Veg Biriyani,Sanskriti, 0.5 pack,280,40,10,8
Biriyani Sauce,Pataks, 0.5 Jar 500g,127,0,0,0
Chitranna,Homemade, 1 Plate,323,58,6,11
Chitranna,Mom's Recepie, 1 cup,215,22,9,7
the Most Accurate One!,Generic Chitranna, 1 cup,100,1,1,50
Set Dosa,Generic, 6 inch,375,23,8,8
Homemade,Set Dosa, 1 small,170,36,0,5
dosa,ragi dosa, 1 cup,126,0,0,0
Cheese Dosa,Dosa-cheese Dosa, 1 Dosa,175,4,15,7
Rice Dosa,Dosa, 3 Cooked,203,20,0,0
Spring Dosa,Spring Dosa, 1 pc,581,52,41,8
dosa,dosa podi, 51 gms,180,40,0,5
Janak - Dosa,Janak - Dosa, 1 dosa,80,15,2,2
Shezwan Sada Dosa,Dosa, 1 plate,157,30,3,5
Homemade Wheat Dosa,Wheat Dosa, 2 dosa,149,22,5,3
Masala Dosa,Masala Dosa, 1 컵,140,22,5,4
Dosa,Dosa, 30 gram,117,23,1,4
Millet Dosa (Bajra Dosa),Homemade, 1 cooked (2.4oz),70,17,0,2
Lentil Dosa,Homemade Ada Dosa, 1 dosa,120,24,1,3
Dosa,Gits, 50 g Uncooked,160,34,0,5
Dosa,Dosa  Nirapara, 3 шт,365,79,1,11
dosa,annas dosa, 22 .4 gm,82,15,1,3
Dosa,Dosa batter, 100 g,322,65,1,11
Plain,Dosa, 1 Piece,106,18,3,3
Unni Appam,Unni Appam, 1 nos,71,13,1,1
Appam,Dp, 0.9 oz,27,0,0,0
Appam,Generic, 1 appam,120,20,10,0
Pal Appam,Homemade, 1 piece,85,15,3,1
Idi Appam,Homemade, 1 plate,160,32,0,3
Kerala Appam,Neveah's, 1 Appam,88,15,3,1
Appam,Arogya, 100 g,204,45,1,3
appam,Elite, 3.5 1 gram,160,35,0,3
right appam,Elite, 45 gram,160,35,0,3
Appam,South Indian/Tamil, 1 serving,170,0,0,0
Tamilian Vella Appam,Generic, 2 ( palm sized),222,25,12,3
Breakfast,Sooji Appam, 1 cup (240g),163,26,4,6
Appam Podi ,Eastern, 100 gram,386,87,0,9
Appam Batter,Saracanan, 100 gram,204,45,1,3
Appam batter,CES  gees, 50 g,115,22,1,4
"Appam, idiappam - pathiri",Periyar, 100 g,360,78,1,8
